Epoch 1
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.17%       6.000us       3.000us           0 b           0 b           0 b           0 b             2  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.35%      12.000us      12.000us           0 b           0 b           0 b           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      36.000us         1.04%      36.000us      12.000us           0 b           0 b           0 b           0 b             3  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.35%      12.000us       3.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.17%       6.000us       3.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.23%       8.000us       2.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.000us         0.26%       9.000us       2.250us           0 b           0 b           0 b           0 b             4  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      32.000us         0.92%      32.000us       5.333us           0 b           0 b           0 b           0 b             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.23%       8.000us       2.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.17%       6.000us       2.000us           0 b           0 b           0 b           0 b             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      64.000us         1.84%      64.000us      12.800us           0 b           0 b           0 b           0 b             5  
                                 ampere_sgemm_32x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     207.000us         5.95%     207.000us      51.750us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     652.000us        18.75%     652.000us     108.667us           0 b           0 b           0 b           0 b             6  
                                  cudaStreamIsCapturing         0.13%       4.000us         0.13%       4.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                             cudaMalloc        70.26%       2.197ms        70.26%       2.197ms     549.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     393.000us        11.30%     393.000us     131.000us           0 b           0 b           0 b           0 b             3  
                                  cudaDeviceSynchronize         0.13%       4.000us         0.13%       4.000us       4.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.127ms
Self CUDA time total: 3.478ms

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us          16 b          16 b     606.01 Mb     606.01 Mb           128  
                                       cudaLaunchKernel        25.99%     824.000us        25.99%     824.000us      11.288us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            73  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.000us         0.57%      20.000us      10.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.06%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      30.000us         0.86%      30.000us       5.000us           0 b           0 b           0 b           0 b             6  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.34%      12.000us      12.000us           0 b           0 b           0 b           0 b             1  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      50.000us         1.44%      50.000us      10.000us           0 b           0 b           0 b           0 b             5  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      19.000us         0.55%      19.000us      19.000us           0 b           0 b           0 b           0 b             1  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.25%       8.000us         0.25%       8.000us       0.364us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            22  
                                 ampere_sgemm_32x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us     307.000us         8.82%     307.000us     153.500us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     443.000us        12.73%     443.000us      73.833us           0 b           0 b           0 b           0 b             6  
void cutlass::Kernel<cutlass_80_simt_sgemm_128x32_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      67.000us         1.93%      67.000us      67.000us           0 b           0 b           0 b           0 b             1  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       1.079ms        31.01%       1.079ms     359.667us           0 b           0 b           0 b           0 b             3  
                                        cudaMemcpyAsync         2.96%      94.000us         2.96%      94.000us      15.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         0.14%       5.000us       2.500us           0 b           0 b           0 b           0 b             2  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      11.000us         0.32%      11.000us      11.000us           0 b           0 b           0 b           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      37.000us         1.06%      37.000us      12.333us           0 b           0 b           0 b           0 b             3  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.34%      12.000us       3.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.17%       6.000us       3.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.23%       8.000us       2.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.000us         0.26%       9.000us       2.250us           0 b           0 b           0 b           0 b             4  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      33.000us         0.95%      33.000us       5.500us           0 b           0 b           0 b           0 b             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.23%       8.000us       2.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.17%       6.000us       2.000us           0 b           0 b           0 b           0 b             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      65.000us         1.87%      65.000us      13.000us           0 b           0 b           0 b           0 b             5  
                                 ampere_sgemm_32x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     207.000us         5.95%     207.000us      51.750us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     652.000us        18.74%     652.000us     108.667us           0 b           0 b           0 b           0 b             6  
                                  cudaStreamIsCapturing         0.13%       4.000us         0.13%       4.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                             cudaMalloc        70.55%       2.237ms        70.55%       2.237ms     559.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     392.000us        11.26%     392.000us     130.667us           0 b           0 b           0 b           0 b             3  
                                  cudaDeviceSynchronize         0.13%       4.000us         0.13%       4.000us       4.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.171ms
Self CUDA time total: 3.480ms

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us          16 b          16 b     604.51 Mb     604.51 Mb           128  
                                       cudaLaunchKernel        25.86%     794.000us        25.86%     794.000us      10.877us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            73  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.000us         0.57%      20.000us      10.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.06%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      31.000us         0.89%      31.000us       5.167us           0 b           0 b           0 b           0 b             6  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.34%      12.000us      12.000us           0 b           0 b           0 b           0 b             1  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      52.000us         1.49%      52.000us      10.400us           0 b           0 b           0 b           0 b             5  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      19.000us         0.55%      19.000us      19.000us           0 b           0 b           0 b           0 b             1  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.20%       6.000us         0.20%       6.000us       0.273us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            22  
                                 ampere_sgemm_32x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us     310.000us         8.90%     310.000us     155.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     439.000us        12.61%     439.000us      73.167us           0 b           0 b           0 b           0 b             6  
void cutlass::Kernel<cutlass_80_simt_sgemm_128x32_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      68.000us         1.95%      68.000us      68.000us           0 b           0 b           0 b           0 b             1  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       1.079ms        30.99%       1.079ms     359.667us           0 b           0 b           0 b           0 b             3  
                                        cudaMemcpyAsync         2.90%      89.000us         2.90%      89.000us      14.833us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         0.14%       5.000us       2.500us           0 b           0 b           0 b           0 b             2  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      11.000us         0.32%      11.000us      11.000us           0 b           0 b           0 b           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      37.000us         1.06%      37.000us      12.333us           0 b           0 b           0 b           0 b             3  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.34%      12.000us       3.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.17%       6.000us       3.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.23%       8.000us       2.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.000us         0.26%       9.000us       2.250us           0 b           0 b           0 b           0 b             4  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      32.000us         0.92%      32.000us       5.333us           0 b           0 b           0 b           0 b             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.23%       8.000us       2.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.17%       6.000us       2.000us           0 b           0 b           0 b           0 b             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      65.000us         1.87%      65.000us      13.000us           0 b           0 b           0 b           0 b             5  
                                 ampere_sgemm_32x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     205.000us         5.89%     205.000us      51.250us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     653.000us        18.75%     653.000us     108.833us           0 b           0 b           0 b           0 b             6  
                                  cudaStreamIsCapturing         0.13%       4.000us         0.13%       4.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                             cudaMalloc        70.78%       2.173ms        70.78%       2.173ms     543.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     393.000us        11.29%     393.000us     131.000us           0 b           0 b           0 b           0 b             3  
                                  cudaDeviceSynchronize         0.13%       4.000us         0.13%       4.000us       4.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.070ms
Self CUDA time total: 3.482ms

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us          16 b          16 b     604.63 Mb     604.63 Mb           128  
                                       cudaLaunchKernel        26.05%     786.000us        26.05%     786.000us      10.767us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            73  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.000us         0.60%      21.000us      10.500us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.06%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      31.000us         0.89%      31.000us       5.167us           0 b           0 b           0 b           0 b             6  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      11.000us         0.32%      11.000us      11.000us           0 b           0 b           0 b           0 b             1  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      53.000us         1.52%      53.000us      10.600us           0 b           0 b           0 b           0 b             5  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      19.000us         0.54%      19.000us      19.000us           0 b           0 b           0 b           0 b             1  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.23%       7.000us         0.23%       7.000us       0.318us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            22  
                                 ampere_sgemm_32x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us     309.000us         8.86%     309.000us     154.500us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     440.000us        12.61%     440.000us      73.333us           0 b           0 b           0 b           0 b             6  
void cutlass::Kernel<cutlass_80_simt_sgemm_128x32_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      68.000us         1.95%      68.000us      68.000us           0 b           0 b           0 b           0 b             1  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       1.080ms        30.95%       1.080ms     360.000us           0 b           0 b           0 b           0 b             3  
                                        cudaMemcpyAsync         2.82%      85.000us         2.82%      85.000us      14.167us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         0.14%       5.000us       2.500us           0 b           0 b           0 b           0 b             2  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.34%      12.000us      12.000us           0 b           0 b           0 b           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      37.000us         1.06%      37.000us      12.333us           0 b           0 b           0 b           0 b             3  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.34%      12.000us       3.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.17%       6.000us       3.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.23%       8.000us       2.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.000us         0.26%       9.000us       2.250us           0 b           0 b           0 b           0 b             4  
                                  cudaStreamIsCapturing         0.13%       4.000us         0.13%       4.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                             cudaMalloc        70.63%       2.131ms        70.63%       2.131ms     532.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      32.000us         0.92%      32.000us       5.333us           0 b           0 b           0 b           0 b             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.23%       8.000us       2.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.17%       6.000us       2.000us           0 b           0 b           0 b           0 b             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      65.000us         1.86%      65.000us      13.000us           0 b           0 b           0 b           0 b             5  
                                 ampere_sgemm_32x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     208.000us         5.96%     208.000us      52.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     654.000us        18.74%     654.000us     109.000us           0 b           0 b           0 b           0 b             6  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     393.000us        11.26%     393.000us     131.000us           0 b           0 b           0 b           0 b             3  
                                  cudaDeviceSynchronize         0.13%       4.000us         0.13%       4.000us       4.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.017ms
Self CUDA time total: 3.489ms

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us          16 b          16 b     606.01 Mb     606.01 Mb           128  
                                       cudaLaunchKernel        25.51%     818.000us        25.51%     818.000us      11.205us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            73  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.000us         0.57%      20.000us      10.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.06%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      30.000us         0.86%      30.000us       5.000us           0 b           0 b           0 b           0 b             6  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      11.000us         0.32%      11.000us      11.000us           0 b           0 b           0 b           0 b             1  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      53.000us         1.52%      53.000us      10.600us           0 b           0 b           0 b           0 b             5  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.000us         0.57%      20.000us      20.000us           0 b           0 b           0 b           0 b             1  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.19%       6.000us         0.19%       6.000us       0.273us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            22  
                                 ampere_sgemm_32x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us     310.000us         8.91%     310.000us     155.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     439.000us        12.61%     439.000us      73.167us           0 b           0 b           0 b           0 b             6  
void cutlass::Kernel<cutlass_80_simt_sgemm_128x32_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      67.000us         1.93%      67.000us      67.000us           0 b           0 b           0 b           0 b             1  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       1.079ms        31.01%       1.079ms     359.667us           0 b           0 b           0 b           0 b             3  
                                        cudaMemcpyAsync         2.81%      90.000us         2.81%      90.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         0.14%       5.000us       2.500us           0 b           0 b           0 b           0 b             2  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.34%      12.000us      12.000us           0 b           0 b           0 b           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      36.000us         1.03%      36.000us      12.000us           0 b           0 b           0 b           0 b             3  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.34%      12.000us       3.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.17%       6.000us       3.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.23%       8.000us       2.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.000us         0.26%       9.000us       2.250us           0 b           0 b           0 b           0 b             4  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      32.000us         0.92%      32.000us       5.333us           0 b           0 b           0 b           0 b             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.000us         0.23%       8.000us       2.000us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.17%       6.000us       2.000us           0 b           0 b           0 b           0 b             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      64.000us         1.84%      64.000us      12.800us           0 b           0 b           0 b           0 b             5  
                                 ampere_sgemm_32x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     206.000us         5.92%     206.000us      51.500us           0 b           0 b           0 b           0 b             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     654.000us        18.79%     654.000us     109.000us           0 b           0 b           0 b           0 b             6  
                                  cudaStreamIsCapturing         0.12%       4.000us         0.12%       4.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                             cudaMalloc        71.21%       2.283ms        71.21%       2.283ms     570.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     391.000us        11.24%     391.000us     130.333us           0 b           0 b           0 b           0 b             3  
                                  cudaDeviceSynchronize         0.16%       5.000us         0.16%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.206ms
Self CUDA time total: 3.480ms

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
